"link","name","totalscr","govandstrat","ecoandbio","socialincl"
"https://www.worldbenchmarkingalliance.org/publication/nature/companies/crh","CRH","29.0","60.5","16.2","36.2"
"https://www.worldbenchmarkingalliance.org/publication/nature/companies/newcrest-mining","Newcrest","28.8","51.2","24.0","27.4"
"https://www.worldbenchmarkingalliance.org/publication/nature/companies/bayer","Bayer","36.4","75.5","30.2","30.9"
"https://www.worldbenchmarkingalliance.org/publication/nature/companies/ecolab","30.6","40.0","31.0","26.3"
"https://www.worldbenchmarkingalliance.org/publication/nature/companies/gold-fields","Gold Fields","28.7","35.0","16.6","45.3"
"https://www.worldbenchmarkingalliance.org/publication/nature/companies/daiwa-house-group","Daiwa House Group","28.5","45.0","33.1","14.9"
"https://www.worldbenchmarkingalliance.org/publication/nature/companies/puma-2","Puma","28.1","41.2","14.5","44.2"
"https://www.worldbenchmarkingalliance.org/publication/nature/companies/berry-global","Berry Global","28.0","35.0","27.5","25.9"
"https://www.worldbenchmarkingalliance.org/publication/nature/companies/next-2","Next","27.9","23.7","18.2","44.7"
"https://www.worldbenchmarkingalliance.org/publication/nature/companies/vf-corporation-3","VF Corporation","27.8","11.2","14.2","55.7"
"https://www.worldbenchmarkingalliance.org/publication/nature/companies/vedanta-resources","Vedanta Resources","27.8","45.0","24.6","25.9"
"https://www.worldbenchmarkingalliance.org/publication/nature/companies/barrick-gold","Barrick Gold","27.6","28.7","15.1","46.8"
"https://www.worldbenchmarkingalliance.org/publication/nature/companies/ferrovial","Ferrovial","27.6","30.0","29.4","23.8"
"https://www.worldbenchmarkingalliance.org/publication/nature/companies/smurfit-kappa-group","Smurfit Kappa Group","27.6","40.0","27.1","23.4"
"https://www.worldbenchmarkingalliance.org/publication/nature/companies/astrazeneca","AstraZeneca","27.4","46.2","24.1","25.0"
"https://www.worldbenchmarkingalliance.org/publication/nature/companies/air-liquide","Air Liquide","27.3","46.2","15.9","37.7"
"https://www.worldbenchmarkingalliance.org/publication/nature/companies/henkel","Henkel","27.0","45.0","27.4","19.3"
"https://www.worldbenchmarkingalliance.org/publication/nature/companies/hermes-international-2","Hermes International","26.9","36.2","25.8","24.9"
"https://www.worldbenchmarkingalliance.org/publication/nature/companies/anglogold-ashanti","AngloGold Ashanti","26.5","21.2","18.6","41.2"
"https://www.worldbenchmarkingalliance.org/publication/nature/companies/grupo-mexico-2","Grupo Mexico","26.3","35.0","17.4","36.8"
"https://www.worldbenchmarkingalliance.org/publication/nature/companies/bhp-group-2","BHP Group","26.1","25.0","16.1","42.3"
"https://www.worldbenchmarkingalliance.org/publication/nature/companies/levi-strauss-co-3","Levi Strauss & Co.","26.1","47.5","25.5","18.5"
"https://www.worldbenchmarkingalliance.org/publication/nature/companies/lanxess","LANXESS","26.0","33.7","20.0","32.3"
"https://www.worldbenchmarkingalliance.org/publication/nature/companies/adidas-4","Adidas","25.6","23.7","11.3","48.7"
"https://www.worldbenchmarkingalliance.org/publication/nature/companies/zijin-mining","Zijin Mining","25.5","56.2","16.8","26.9"
"https://www.worldbenchmarkingalliance.org/publication/nature/companies/pirelli-c","Pirelli & C","25.3","30.0","20.3","31.4"
"https://www.worldbenchmarkingalliance.org/publication/nature/companies/china-steel","China Steel","25.2","50.0","32.0","4.5"
"https://www.worldbenchmarkingalliance.org/publication/nature/companies/aurubis","Aurubis","24.9","33.7","19.7","29.4"
"https://www.worldbenchmarkingalliance.org/publication/nature/companies/taisei-corporation","Taisei Corporation","24.8","35.0","18.2","31.2"
"https://www.worldbenchmarkingalliance.org/publication/nature/companies/kinross-gold","Kinross Gold","24.6","27.5","17.4","34.8"
"https://www.worldbenchmarkingalliance.org/publication/nature/companies/arkema","Arkema","24.5","40.0","22.9","20.8"
"https://www.worldbenchmarkingalliance.org/publication/nature/companies/under-armour-3","Under Armour","24.5","33.7","14.0","37.2"
"https://www.worldbenchmarkingalliance.org/publication/nature/companies/eastman-chemical","Eastman Chemical","24.3","30.0","24.1","22.4"
"https://www.worldbenchmarkingalliance.org/publication/nature/companies/aker-solutions","Aker Solutions","24.2","35.0","19.8","26.8"
"https://www.worldbenchmarkingalliance.org/publication/nature/companies/cementos-argos","Cementos Argos","24.1","40.0","18.3","26.8"
"https://www.worldbenchmarkingalliance.org/publication/nature/companies/evraz","Evraz","24.1","41.2","21.1","21.9"
"https://www.worldbenchmarkingalliance.org/publication/nature/companies/freeport-mcmoran-2","Freeport-McMoRan","24.1","30.0","11.5","41.7"
"https://www.worldbenchmarkingalliance.org/publication/nature/companies/burberry-2","Burberry","24.0","30.0","14.1","37.2"
"https://www.worldbenchmarkingalliance.org/publication/nature/companies/air-products-and-chemicals","Air Products and Chemicals","23.8","38.7","21.8","20.8"
"https://www.worldbenchmarkingalliance.org/publication/nature/companies/hyundai-steel","Hyundai Steel","23.8","33.7","15.6","32.7"
"https://www.worldbenchmarkingalliance.org/publication/nature/companies/jsw-group","JSW Group","23.6","46.2","18.8","21.9"
"https://www.worldbenchmarkingalliance.org/publication/nature/companies/ralph-lauren-corporation-3","Ralph Lauren Corporation","23.4","30.0","17.0","30.9"
"https://www.worldbenchmarkingalliance.org/publication/nature/companies/dow","DOW","23.3","41.2","18.8","23.4"
"https://www.worldbenchmarkingalliance.org/publication/nature/companies/harmony-gold","Harmony Gold","23.3","50.0","19.2","18.9"
"https://www.worldbenchmarkingalliance.org/publication/nature/companies/roche","Roche","23.3","25.0","15.9","34.2"
"https://www.worldbenchmarkingalliance.org/publication/nature/companies/metalurgica-gerdau","Metalurgica Gerdau","23.2","46.2","17.8","22.3"
"https://www.worldbenchmarkingalliance.org/publication/nature/companies/webuild","Webuild","23.2","33.7","10.6","38.7"
"https://www.worldbenchmarkingalliance.org/publication/nature/companies/ds-smith","DS Smith","23.1","23.7","23.5","22.3"
"https://www.worldbenchmarkingalliance.org/publication/nature/companies/acs-group","ACS Group","23.0","36.2","15.6","29.3"
"https://www.worldbenchmarkingalliance.org/publication/nature/companies/indorama-ventures","Indorama Ventures","23.0","50.0","13.3","27.3"
"https://www.worldbenchmarkingalliance.org/publication/nature/companies/linde","Linde","22.9","33.7","11.0","37.2"
"https://www.worldbenchmarkingalliance.org/publication/nature/companies/solvay","Solvay","22.8","50.0","18.0","19.3"
"https://www.worldbenchmarkingalliance.org/publication/nature/companies/merck-co","Merck & Co","22.7","46.0","18.3","20.4"
"https://www.worldbenchmarkingalliance.org/publication/nature/companies/hindalco-industries","Hindalco Industries","22.5","40.0","20.1","19.3"
"https://www.worldbenchmarkingalliance.org/publication/nature/companies/fortescue","Fortescue","22.4","48.0","16.5","21.4"
"https://www.worldbenchmarkingalliance.org/publication/nature/companies/heidelbergcement-2","Heidelberg Materials","22.2","36.0","13.8","29.9"
"https://www.worldbenchmarkingalliance.org/publication/nature/companies/united-company-rusal","United Company Rusal","22.2","45.0","22.2","12.9"
"https://www.worldbenchmarkingalliance.org/publication/nature/companies/saint-gobain","Saint-Gobain","22.0","25.0","17.3","28.3"
"https://www.worldbenchmarkingalliance.org/publication/nature/companies/covestro","Covestro","21.8","30.0","12.8","32.7"
"https://www.worldbenchmarkingalliance.org/publication/nature/companies/nike-4","Nike","21.8","25.0","19.7","23.8"
"https://www.worldbenchmarkingalliance.org/publication/nature/companies/asia-cement-corporation","Asia Cement Corporation","21.7","51.2","18.7","14.4"
"https://www.worldbenchmarkingalliance.org/publication/nature/companies/teva-pharmaceuticals","Teva Pharmaceuticals","21.3","40.0","16.8","20.8"
"https://www.worldbenchmarkingalliance.org/publication/nature/companies/akzo-nobel","Akzo Nobel","21.1","18.7","9.6","40.2"
"https://www.worldbenchmarkingalliance.org/publication/nature/companies/avery-dennison-corporation","Avery Dennison Corporation","21.1","25.0","21.3","19.3"
"https://www.worldbenchmarkingalliance.org/publication/nature/companies/hugo-boss-2","Hugo Boss","21.1","25.0","13.6","31.2"
"https://www.worldbenchmarkingalliance.org/publication/nature/companies/implats","Implats","21.0","50.0","16.5","16.4"
"https://www.worldbenchmarkingalliance.org/publication/nature/companies/tapestry-2","Tapestry","21.0","30.0","22.6","14.9"
"https://www.worldbenchmarkingalliance.org/publication/nature/companies/albemarle-corporation","Albemarle Corporation","20.9","35.0","12.5","28.4"
"https://www.worldbenchmarkingalliance.org/publication/nature/companies/gs-engineering-construction","GS Engineering & Construction","20.9","45.0","19.5","13.4"
"https://www.worldbenchmarkingalliance.org/publication/nature/companies/halcyon-agri","Halcyon Agri","20.8","38.7","10.1","30.5"
"https://www.worldbenchmarkingalliance.org/publication/nature/companies/johnson-matthey","Johnson Matthey","20.7","40.0","18.6","16.4"
"https://www.worldbenchmarkingalliance.org/publication/nature/companies/otsuka","Otsuka","20.7","12.5","15.2","32.7"
