Company Name,ISIN,Industry,Total score (max. 16),1a,1b,1c,1d,JT1,2a,2b,2c,2d,JT2,3a,3b,3c,3d,JT3,4a,4b,4c,4d,JT4,5a,5b,5c,5d,JT5,6a,6b,6c,6d,JT6
Abu Dhabi National Oil Company (ADNOC),0,Oil and Gas,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AES Corporation,US00130H1059,Electric Utilities,8,0,1,1,1,3,1,0,0,0,1,0.5,0,0.5,0.5,1.5,0,0,0.5,0.5,1,0,0,0.5,0.5,1,0,0,0.5,0,0.5
AGL Energy,AU000000AGL7,Electric Utilities,1,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0
American Electric Power (AEP),US0255371017,Electric Utilities,9,0,1,1,0,2,0,1,1,0,2,0.5,0.5,0.5,0.5,2,0.5,0,0.5,0.5,1.5,0,0,0.5,0.5,1,0,0,0,0.5,0.5
Ampol Limited,AU0000088338,Oil and Gas,2,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,1,0,0,0.5,0.5,1,0,0,0,0,0,0,0,0,0,0
Anhui Jianghuai Automobile Group,CNE0000018M9,Automotive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Apache Corporation,US0374111054,Oil and Gas,2,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,1,0,0,0.5,0.5,1,0,0,0,0,0,0,0,0,0,0
Basra Oil Company (BOC),0,Oil and Gas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Beijing Automotive Group (BAIC),CNE100001TJ4,Automotive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bharat Petroleum Corporation,INE029A01011,Oil and Gas,3,1,0,0,0,1,0,0,0,0,0,0,0,0.5,0.5,1,0,0,0.5,0.5,1,0,0,0,0,0,0,0,0,0,0
BHP Group,AU000000BHP4,Oil and Gas,5.5,0,1,1,0,2,0,0,0,0,0,0,0,0.5,0.5,1,0,0,0.5,0.5,1,0.5,0,0,0.5,1,0.5,0,0,0,0.5
BMW,DE0005190003,Automotive,3,1,0,0,0,1,0,0,0,0,0,0,0,0.5,0.5,1,0,0,0.5,0.5,1,0,0,0,0,0,0,0,0,0,0
BP,GB0007980591,Oil and Gas,12,1,1,1,0,3,1,1,1,1,4,0.5,0,0.5,0.5,1.5,0.5,0,0.5,0.5,1.5,0.5,0,0,0,0.5,0.5,0,0.5,0.5,1.5
BYD,CNE100001526,Automotive,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,1,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0
California Resources Corporation,US13057Q3056,Oil and Gas,2,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,1,0,0,0.5,0.5,1,0,0,0,0,0,0,0,0,0,0
Canadian Natural Resources,CA1363851017,Oil and Gas,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0.5,0.5,1,0,0,0,0,0,0,0,0,0,0
Cenovus Energy,CA15135U1093,Oil and Gas,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0
CEZ Group,CZ0005112300,Electric Utilities,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0,0,0.5,1,0,0,0.5,0,0.5,0,0,0,0,0
Changan Automobile,CNE000000R36,Automotive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chesapeake Energy Corp,US1651677437,Oil and Gas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chevron Corporation,US1667641005,Oil and Gas,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,1,0,0,0.5,0.5,1,0,0,0,0,0,0.5,0,0,0,0.5
China Datang Corp,0,Electric Utilities,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
China Energy Investment Group (CHN Energy) ,CA92143B1004,Electric Utilities,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
China FAW Group (FAW Car Company),0,Automotive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
China Huadian Corporation,CNE000001LJ2,Electric Utilities,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
China Huaneng Group,KYG2116D1198,Electric Utilities,2,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,1,0,0,0.5,0.5,1,0,0,0,0,0,0,0,0,0,0
China National Offshore Oil Corporation (CNOOC Group),0,Oil and Gas,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
China National Petroleum Corporation (CNPC),0,Oil and Gas,2,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,1,0,0,0.5,0.5,1,0,0,0,0,0,0,0,0,0,0
China Petroleum and Chemical Corporation Limited (Sinopec),CNE0000018G1,Oil and Gas,2.5,1,0,0,0,1,0,0,0,0,0,0,0,0.5,0.5,1,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0
China Three Gorges,CNE000001G87,Electric Utilities,3,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0.5,1.5,0.5,0,0.5,0.5,1.5,0,0,0,0,0,0,0,0,0,0
Chubu Electric Power,JP3526600006,Electric Utilities,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0
Chugoku Electric Power Company,JP3522200009,Electric Utilities,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0
CLP Holdings,HK0002007356,Electric Utilities,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,1,0.5,0,0.5,0.5,1.5,0,0,0,0,0,0,0,0,0,0
Comision Federal de Electricidad (CFE),0,Electric Utilities,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Compania Espanola de Petroleos SAU (CEPSA),ES0132580319,Oil and Gas,2,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,1,0,0,0.5,0.5,1,0,0,0,0,0,0,0,0,0,0
ConocoPhillips,US20825C1045,Oil and Gas,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0.5,0.5,1,0,0,0,0,0,0,0,0,0,0
Cosmo Energy Holdings,JP3298000005,Oil and Gas,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CPC Corporation, Taiwan",0,Oil and Gas,3,1,0,0,0,1,0,0,0,0,0,0,0,0.5,0.5,1,0,0,0.5,0.5,1,0,0,0,0,0,0,0,0,0,0
