Company name,Company ISIN,Headquarters,Region,Industry,Total score (max. 20),Human Rights (max. 10),Decent Work (max. 6),Ethical Conduct (max. 4),Transformation / Benchmark,Research period,Engagement Status ,UNGC Membership,Business Roundtable Membership,Food and Agriculture,Decarbonisation and Energy,Digital Inclusion,Nature and Biodiverisity,Urban,Finance,Gender,CHRB,Access to Seeds,Seafood Stewardship Index
Abu Dhabi National Oil Company (ADNOC),,United Arab Emirates,Middle East & North Africa,Oil and Gas,4,2,1,1,Decarbonisation and Energy,31/08/2018 - 31/08/2021,,,,,Yes,,Yes,,,,,,
Acer,TW0002353000,"Taiwan, China",East Asia & Pacific,Hardware,13,8.5,2,2.5,Digital Inclusion,30/09/2018 - 30/09/2021,Yes,,,,,Yes,,,,,,,
Adobe,US00724F1012,United States of America,North America,Software & IT Services,7,3.5,1.5,2,Digital Inclusion,30/09/2018 - 30/09/2021,Yes,,Yes,,,Yes,,,,,,,
Aeon,JP3388200002,Japan,East Asia & Pacific,Retail,8,5,2,1,Food and Agriculture,31/05/2018 - 31/05/2021,Yes - CHRB,Yes,,Yes,,,Yes,,,,Yes,,
AES Corporation,US00130H1059,United States of America,North America,Electric Utilities,4.5,1,2,1.5,Decarbonisation and Energy,31/08/2018 - 31/08/2021,,,Yes,,Yes,,,Yes,,,,,
AGCO,US0010841023,United States of America,North America,Heavy Machinery & Electrical Equipment,6,3,1,2,Food and Agriculture,31/05/2018 - 31/05/2021,,,,Yes,,,Yes,,,,,,
AGD Group,,Argentina,Latin America & Caribbean,Food & Beverage,2.5,2,0,0.5,Food and Agriculture,31/05/2018 - 31/05/2021,,,,Yes,,,Yes,,,,,,
AGL Energy,AU000000AGL7,Australia,East Asia & Pacific,Electric Utilities,8.5,4,2,2.5,Decarbonisation and Energy,31/08/2018 - 31/08/2021,Yes,Yes,,,Yes,,,Yes,,,,,
AGP,,United States of America,North America,Agricultural Products,0.5,0,0.5,0,Food and Agriculture,31/05/2018 - 31/05/2021,,,,Yes,,,Yes,,,,,,
Agrifirm,,Netherlands,Europe & Central Asia,Agricultural Products,0.5,0,0,0.5,Food and Agriculture,31/05/2018 - 31/05/2021,,,,Yes,,,Yes,,,,,,
Agropur,,Canada,North America,Food & Beverage,1.5,0,0.5,1,Food and Agriculture,31/05/2018 - 31/05/2021,,,,Yes,,,Yes,,,,,,
Ahold Delhaize,NL0011794037,Netherlands,Europe & Central Asia,Retail,13,8.5,2,2.5,Food and Agriculture,31/05/2018 - 31/05/2021,Yes,Yes,,Yes,,,Yes,,,,Yes,,
Airbnb,US0090661010,United States of America,North America,Internet Media & Services,4,2,1.5,0.5,Digital Inclusion,30/09/2018 - 30/09/2021,Yes,,,,,Yes,,Yes,,,,,
AIS,TH0268010Z03,Thailand,East Asia & Pacific,Telecommunication Services,10,6,1.5,2.5,Digital Inclusion,30/09/2018 - 30/09/2021,,,,,,Yes,,,,,,,
Ajinomoto Group,JP3119600009,Japan,East Asia & Pacific,Food & Beverage,4.5,1.5,1.5,1.5,Food and Agriculture,31/05/2018 - 31/05/2021,,,,Yes,,,Yes,,,,,,
