"ae.com","american-eagle"
"aliceandolivia.com","alice-and-olivia"
"allthingsmochi.com","all-things-mochi"
"asos.com","asos"
"athleticpropulsionlabs.com","apl"
"bigw.com.au","big-w"
"chloe.com","chloe"
"christopherkane.com","christopher-kane"
"cottonon.com","cotton-on"
"debenhams.com","debenhams"
"ekyog.com","ekoyg"
"esbyapparel.com","esby"
"farfetch.com","lost-and-found"
"frenchconnection.com","french-connection"
"gaiasegattiniknotwear.it","gaia-segattini-knotwear"
"galerieslafayette.com","galeries-lafayette"
"garrettleight.com","garrett-leight"
"gerryweber.com","gerry-weber"
"hm.com","h-and-m"
"ikks.com","ikks"
"isseymiyake.com","132-5-issey-miyake"
"jillstuart.com","jill-stuart"
"jilsander.com","jil-sander"
"leejeans.com","lee"
"lemoniez.com","lemoniez"
"luckybrand.com","lucky-brand"
"macys.com","macys"
"myer.com.au","myer"
"next.co.uk","next"
"noppies.com","noppies"
"o-mighty.com","omighty"
"only.com","only"
"phase-eight.com","phase-eight"
"ralphlauren.com","ralph-lauren"
"shop.dangerfield.com.au","dangerfield"
"shoposborn.com","osborn"
"skallstudio.com","skall-studio"
"slowear.com","slowear"
"target.com.au","target-australia"
"tfnclondon.com","tfnc"
"thekooples.com","the-kooples"
"vergegirl.com","verge-girl"
"very.co.uk","very"
"zenggi.com","zenggi"
