"wbm.access",                                                                        "ﻝﻮﺻﻭ"
"wbm.act-ranking",                                                                   "ACT ﻒﻴﻨﺼﺗ"
"wbm.adhering-to-societal-conventions",                                                  "ﺔﻴﻌﻤﺘﺠﻤﻟﺍ ﺕﺍﺩﺎﻌﻟﺎﺑ ﻡﺍﺰﺘﻟﻻ﻿ﺍ"
"wbm.anti-bribery-and-anti-corruption-fundamentals",                                        "ﺩﺎﺴﻔﻟﺍ ﺔﺤﻓﺎﻜﻣﻭ ﺓﻮﺷﺮﻟﺍ ﺔﺤﻓﺎﻜﻣ ﺕﺎﻴﺳﺎﺳﺃ"
"wbm.assessing-human-rights-risks-and-impacts",                               "ﻥﺎﺴﻧﻹ﻿ﺍ ﻕﻮﻘﺣ ﻰﻠﻋ ﺔﺒﺗﺮﺘﻤﻟﺍ ﺭﺎﺛﻵ﻿ﺍﻭ ﺮﻃﺎﺨﻤﻟﺍ ﻢﻴﻴﻘﺗ"
"wbm.band",                                                                        "ﺔﻗﺮﻓ"
"wbm.benchmark-ranking",                                                            "ﻱﺭﺎﻴﻌﻤﻟﺍ ﻒﻴﻨﺼﺘﻟﺍ"
"wbm.benchmark-year",                                                             "ﺔﻳﺭﺎﻴﻌﻤﻟﺍ ﺔﻨﺴﻟﺍ"
"wbm.capacity-building",                                                                "ﺕﺍﺭﺪﻘﻟﺍ ءﺎﻨﺑ"
"wbm.collective-bargaining-fundamentals",                                                   "ﺔﻴﻋﺎﻤﺠﻟﺍ ﺔﺿﻭﺎﻔﻤﻟﺍ ﺕﺎﻴﺳﺎﺳﺃ"
"wbm.commitment-to-respect-human-rights",                                                 "ﻥﺎﺴﻧﻹ﻿ﺍ ﻕﻮﻘﺣ ﻡﺍﺮﺘﺣﺎﺑ ﻡﺍﺰﺘﻟﻻ﻿ﺍ"
"wbm.commitment-to-respect-the-human-rights-of-workers",                                          "ﻝﺎﻤﻌﻠﻟ ﻥﺎﺴﻧﻹ﻿ﺍ ﻕﻮﻘﺣ ﻡﺍﺮﺘﺣﺎﺑ ﻡﺍﺰﺘﻟﻻ﻿ﺍ"
"wbm.company-sector",                                                                 "ﺔﻛﺮﺸﻟﺍ ﻉﺎﻄﻗ"
"wbm.core-social-score",                                                   "ﺔﻴﺳﺎﺳﻷ﻿ﺍ ﺔﻴﻋﺎﻤﺘﺟﻻ﻿ﺍ ﺔﺠﻴﺘﻨﻟﺍ"
"wbm.corporate",                                                                   "ﻯﺮﺒﻛ ﺔﻛﺮﺷ"
"wbm.csi",                                               "ﺔﻴﻟﻭﺪﻟﺍ ﻲﺤﻴﺴﻤﻟﺍ ﻦﻣﺎﻀﺘﻟﺍ ﺔﻤﻈﻨﻣ"
"wbm.decent-work",                                                                     "ﻖﺋﻻ﻿ ﻞﻤﻋ"
"wbm.dib-rank",                                                        "ﻲﻣﻼ﻿ﺳﻹ﻿ﺍ ﻲﺑﺩ ﻚﻨﺑ ﻒﻴﻨﺼﺗ"
"wbm.dib-score",                                                         "ﻲﻣﻼ﻿ﺳﻹ﻿ﺍ ﻲﺑﺩ ﻚﻨﺑ ﻁﺎﻘﻧ"
"wbm.ecosystems",                                                               "ﺔﻴﺌﻴﺒﻟﺍ ﻢﻈﻨﻟﺍ"
"wbm.ecosystems-and-biodiversity",                                             "ﻲﺟﻮﻟﻮﻴﺒﻟﺍ ﻉﻮﻨﺘﻟﺍﻭ ﺔﻴﺌﻴﺒﻟﺍ ﻢﻈﻨﻟﺍ"
"wbm.embedding-respect-and-human-rights-due-diligence",                                 "ﻥﺎﺴﻧﻹ﻿ﺍ ﻕﻮﻘﺤﺑ ﺔﺒﺟﺍﻮﻟﺍ ﺔﻳﺎﻨﻌﻟﺍﻭ ﻡﺍﺮﺘﺣﻻ﻿ﺍ ﺦﻴﺳﺮﺗ"
"wbm.engaging-with-affected-and-potentially-affected-stakeholders",                               "ﻦﻴﻠﻤﺘﺤﻤﻟﺍﻭ ﻦﻳﺮﺛﺄﺘﻤﻟﺍ ﺔﺤﻠﺼﻤﻟﺍ ﺏﺎﺤﺻﺃ ﻊﻣ ﻞﻣﺎﻌﺘﻟﺍ"
"wbm.environment",                                                                        "ﺔﺌﻴﺑ"
"wbm.ethical-conduct",                                                               "ﻲﻗﻼ﻿ﺧﻷ﻿ﺍ ﻙﻮﻠﺴﻟﺍ"
"wbm.filing-name",                                                                  "ﻉﺍﺪﻳﻹ﻿ﺍ ﻢﺳﺍ"
"wbm.fundamentals-of-creating-and-providing-or-supporting-access-to-green-and-decent-jobs-for-an-inclusive-and-balanced-workforce","ﺔﻧﺯﺍﻮﺘﻣﻭ ﺔﻠﻣﺎﺷ ﻞﻤﻋ ﺓﻮﻗ ﻞﺟﺃ ﻦﻣ ﺔﻘﺋﻼ﻿ﻟﺍﻭ ءﺍﺮﻀﺨﻟﺍ ﻒﺋﺎﻇﻮﻟﺍ ﻰﻟﺇ ﻝﻮﺻﻮﻟﺍ ﻢﻋﺩ ﻭﺃ ﺮﻴﻓﻮﺗ
"wbm.fundamentals-of-just-transition-planning",                                             "ﻝﺩﺎﻌﻟﺍ ﻲﻟﺎﻘﺘﻧﻻ﻿ﺍ ﻂﻴﻄﺨﺘﻟﺍ ﺕﺎﻴﺳﺎﺳﺃ"
"wbm.fundamentals-of-social-dialogue-and-stakeholder-engagement-in-a-just-transition",               "ﻝﺩﺎﻌﻟﺍ ﻝﻮﺤﺘﻟﺍ ﻲﻓ ﺔﺤﻠﺼﻤﻟﺍ ﺏﺎﺤﺻﺃ ﻙﺍﺮﺷﺇﻭ ﻲﻋﺎﻤﺘﺟﻻ﻿ﺍ ﺭﺍﻮﺤﻟﺍ ﺕﺎﻴﺳﺎﺳﺃ"
"wbm.fundamentals-of-social-protection-and-social-impact-management-for-a-just-transition",           "ﻝﺩﺎﻋ ﻝﺎﻘﺘﻧﺍ ﻞﺟﺃ ﻦﻣ ﻲﻋﺎﻤﺘﺟﻻ﻿ﺍ ﺮﺛﻷ﻿ﺍ ﺓﺭﺍﺩﺇﻭ ﺔﻴﻋﺎﻤﺘﺟﻻ﻿ﺍ ﺔﻳﺎﻤﺤﻟﺍ ﺕﺎﻴﺳﺎﺳﺃ"
"wbm.genetic-resources-and-intellectual-property-management",                                     "ﺔﻳﺮﻜﻔﻟﺍ ﺔﻴﻜﻠﻤﻟﺍ ﺓﺭﺍﺩﺇﻭ ﺔﻴﺛﺍﺭﻮﻟﺍ ﺩﺭﺍﻮﻤﻟﺍ"
"wbm.governance-and-policy-commitments",                                                   "ﺔﺳﺎﻴﺴﻟﺍ ﺕﺎﻣﺍﺰﺘﻟﺍﻭ ﺔﻤﻛﻮﺤﻟﺍ"
"wbm.governance-and-strategy",                                                        "ﺔﻴﺠﻴﺗﺍﺮﺘﺳﻻ﻿ﺍﻭ ﺔﻤﻛﻮﺤﻟﺍ"
"wbm.grievance-mechanisms-for-external-individuals-and-communities",                                     "ﺔﻴﺟﺭﺎﺨﻟﺍ ﺕﺎﻌﻤﺘﺠﻤﻟﺍﻭ ﺩﺍﺮﻓﻸ﻿ﻟ ﻢﻠﻈﺘﻟﺍ ﺕﺎﻴﻟﺁ"
"wbm.grievance-mechanisms-for-workers",                                                         "ﻝﺎﻤﻌﻠﻟ ﻢﻠﻈﺘﻟﺍ ﺕﺎﻴﻟﺁ"
"wbm.health-and-safety-fundamentals",                                                       "ﺔﻣﻼ﻿ﺴﻟﺍﻭ ﺔﺤﺼﻟﺍ ﺕﺎﻴﺳﺎﺳﺃ"
"wbm.human-rights",                                                                 "ﻥﺎﺴﻧﻻ﻿ﺍ ﻕﻮﻘﺣ"
"wbm.identifying-human-rights-risks-and-impacts",                               "ﻥﺎﺴﻧﻹ﻿ﺍ ﻕﻮﻘﺣ ﻰﻠﻋ ﺔﺒﺗﺮﺘﻤﻟﺍ ﺭﺎﺛﻵ﻿ﺍﻭ ﺮﻃﺎﺨﻤﻟﺍ ﺪﻳﺪﺤﺗ"
"wbm.innovation",                                                                      "ﺭﺎﻜﺘﺑﺍ"
"wbm.integrating-and-acting-on-human-rights-risks-and-impacts",                  "ﻥﺎﺴﻧﻹ﻿ﺍ ﻕﻮﻘﺣ ﻰﻠﻋ ﺔﺒﺗﺮﺘﻤﻟﺍ ﺭﺎﺛﻵ﻿ﺍﻭ ﺮﻃﺎﺨﻤﻟﺍ ﻥﺄﺸﺑ ﻑﺮﺼﺘﻟﺍﻭ ﺞﻣﺪﻟﺍ"
"wbm.just-transition-score",                                                          "ﺔﻴﻟﺎﻘﺘﻧﺍ ﻁﺎﻘﻧ ﺩﺮﺠﻣ"
"wbm.living-wage-fundamentals",                                                        "ﻲﺸﻴﻌﻤﻟﺍ ﺮﺟﻷ﻿ﺍ ﺕﺎﻴﺳﺎﺳﺃ"
"wbm.marketing-and-sales",                                                           "ﺕﺎﻌﻴﺒﻤﻟﺍﻭ ﻖﻳﻮﺴﺘﻟﺍ"
"wbm.narrative",                                                                       "ﺔﻳﺍﻭﺭ"
"wbm.nutrition",                                                                       "ﺔﻳَﺬِﻐﺗَ"
"wbm.performance",                                                                        "ءﺍﺩﺃ"
"wbm.performance-company-human-rights-practices",                                      "ءﺍﺩﻷ﻿ﺍ ﺔﻛﺮﺸﺑ ﺔﺻﺎﺨﻟﺍ ﻥﺎﺴﻧﻹ﻿ﺍ ﻕﻮﻘﺣ ﺕﺎﺳﺭﺎﻤﻣ"
"wbm.performance-response-to-serious-allegations",                                              "ﺓﺮﻴﻄﺨﻟﺍ ﺕﺍءﺎﻋﺩﻼ﻿ﻟ ءﺍﺩﻷ﻿ﺍ ﺔﺑﺎﺠﺘﺳﺍ"
"wbm.personal-data-protection-fundamentals",                                              "ﺔﻴﺼﺨﺸﻟﺍ ﺕﺎﻧﺎﻴﺒﻟﺍ ﺔﻳﺎﻤﺣ ﺕﺎﻴﺳﺎﺳﺃ"
"wbm.rank",                                                                        "ﺔﺒﺗﺭ"
"wbm.rank-of-region",                                                                "ﺔﻘﻄﻨﻤﻟﺍ ﺔﺒﺗﺭ"
"wbm.rank-of-sector",                                                                 "ﻉﺎﻄﻘﻟﺍ ﺔﺒﺗﺭ"
"wbm.region",                                                                       "ﺔﻘﻄﻨﻣ"
"wbm.remedies-and-grievance-mechanisms",                                                       "ﻢﻠﻈﺘﻟﺍ ﺕﺎﻴﻟﺁﻭ ﺕﺎﺟﻼ﻿ﻌﻟﺍ"
"wbm.research-and-development",                                                              "ﺮﻳﻮﻄﺘﻟﺍﻭ ﺚﺤﺒﻟﺍ"
"wbm.respecting-planetary-boundaries",                                                         "ﺐﻛﺍﻮﻜﻟﺍ ﺩﻭﺪﺣ ﻡﺍﺮﺘﺣﺍ"
"wbm.responsible-lobbying-and-political-engagement-fundamentals",                                    "ﺔﻴﺳﺎﻴﺴﻟﺍ ﺔﻛﺭﺎﺸﻤﻟﺍ ﺕﺎﻴﺳﺎﺳﺃﻭ ﻝﻭﺆﺴﻤﻟﺍ ﻂﻐﻀﻟﺍ"
"wbm.responsible-tax-fundamentals",                                                    "ﺔﻟﻭﺆﺴﻤﻟﺍ ﺐﺋﺍﺮﻀﻟﺍ ﺕﺎﻴﺳﺎﺳﺃ"
"wbm.sector",                                                                        "ﻉﺎﻄﻗ"
"wbm.seed-production",                                                                "ﺭﻭﺬﺒﻟﺍ ﺝﺎﺘﻧﺇ"
"wbm.skills",                                                                      "ﺕﺍﺭﺎﻬﻣ"
"wbm.social-inclusion",                                                            "ﻲﻋﺎﻤﺘﺟﻻ﻿ﺍ ﺝﺎﻣﺪﻧﻻ﻿ﺍ"
"wbm.social-inclusion-and-community-impact",                                          "ﻲﻌﻤﺘﺠﻤﻟﺍ ﺮﻴﺛﺄﺘﻟﺍﻭ ﻲﻋﺎﻤﺘﺟﻻ﻿ﺍ ﺝﺎﻣﺪﻧﻻ﻿ﺍ"
"wbm.social-ranking",                                                            "ﻲﻋﺎﻤﺘﺟﻻ﻿ﺍ ﻒﻴﻨﺼﺘﻟﺍ"
"wbm.social-responsibility",                                                            "ﺔﻴﻋﺎﻤﺘﺟﺍ ﺔﻴﻟﻭﺆﺴﻣ"
"wbm.social-score",                                                           "ﺔﻴﻋﺎﻤﺘﺟﻻ﻿ﺍ ﺔﺠﻴﺘﻨﻟﺍ"
"wbm.supply-chain",                                                                    "ﻦﻳﺩﺭﻮﻤﻟﺍ"
"wbm.total-act-score",                                                             "ACT ﻁﺎﻘﻧ ﻲﻟﺎﻤﺟﺇ"
"wbm.total-rank",                                                             "ﺔﻴﻟﺎﻤﺟﻹ﻿ﺍ ﺔﺒﺗﺮﻟﺍ"
"wbm.total-social-score",                                                     "ﺔﻴﻋﺎﻤﺘﺟﻻ﻿ﺍ ﻁﺎﻘﻨﻟﺍ ﻲﻟﺎﻤﺟﺇ"
"wbm.traceability",                                                              "ﻊﺒﺘﺘﻟﺍ ﺔﻴﻧﺎﻜﻣﺇ"
"wbm.trend",                                                                       "ﻩﺎﺠﺗﺍ"
"wbm.use",                                                                      "ﻡﺪﺨﺘﺴﻳ"
"wbm.workforce-diversity-disclosure-fundamentals",                                         "ﺔﻠﻣﺎﻌﻟﺍ ﻯﻮﻘﻟﺍ ﻉﻮﻨﺗ ﻦﻋ ﻒﺸﻜﻟﺍ ﺕﺎﻴﺳﺎﺳﺃ"
"wbm.working-hours-fundamentals",                                                         "ﻞﻤﻌﻟﺍ ﺕﺎﻋﺎﺳ ﺕﺎﻴﺳﺎﺳﺃ"
"wbm.workplace",                                                                  "ﻞﻤﻌﻟﺍ ﻥﺎﻜﻣ"
"wbm.fundamentals-of-advocacy-for-policies-and-regulation-on-green-and-decent-job-creation-employee-retention-education-and-reskilling-and-social-protection-supporting-a-just-transition","ﻝﺩﺎﻌﻟﺍ ﻝﺎﻘﺘﻧﻻ﻿ﺍ ﻢﻋﺪﺗ ﻲﺘﻟﺍ ﺔﻴﻋﺎﻤﺘﺟﻻ﻿ﺍ ﺔﻳﺎﻤﺤﻟﺍﻭ ،ﺕﺍﺭﺎﻬﻤﻟﺍ ﺓﺩﺎﻋﺇﻭ ﻢﻴﻠﻌﺘﻟﺍﻭ ،ﻦﻴﻔﻇﻮﻤ
