"wbm.access",“使用权”
"wbm.act-ranking",《ACT排名》
"wbm.adhering-to-societal-conventions",“遵守社会习俗”
"wbm.anti-bribery-and-anti-corruption-fundamentals",《反贿赂和反腐败的基本原则》
"wbm.assessing-human-rights-risks-and-impacts",“评估人权风险和影响”
"wbm.band",“乐队”
"wbm.benchmark-ranking",《基准排名》
"wbm.benchmark-year",“基准年”
"wbm.capacity-building",《能力建设》
"wbm.collective-bargaining-fundamentals",《集体谈判的基本原则》
"wbm.commitment-to-respect-human-rights",“尊重人权的承诺”
"wbm.commitment-to-respect-the-human-rights-of-workers",“尊重工人人权的承诺”
"wbm.company-sector",「公司部门」
"wbm.core-social-score",“核心社会得分”
"wbm.corporate",“公司的”
"wbm.csi",《犯罪现场调查》
"wbm.decent-work",《体面的工作》
"wbm.dib-rank",“DIB排名”
"wbm.dib-score",「DIB 分数」
"wbm.ecosystems",“生态系统”
"wbm.ecosystems-and-biodiversity",“生态系统和生物多样性”
"wbm.embedding-respect-and-human-rights-due-diligence",“嵌入尊重和人权尽职调查”
"wbm.engaging-with-affected-and-potentially-affected-stakeholders",“与受影响和潜在受影响的利益相关者进行接触”
"wbm.environment",“环境”
"wbm.ethical-conduct",“道德准则”
"wbm.filing-name",「备案名称」
"wbm.fundamentals-of-creating-and-providing-or-supporting-access-to-green-and-decent-jobs-for-an-inclusive-and-balanced-workforce",“为包容和平衡的劳动力创造和提供或支持获得绿色和体面工作的基础”
"wbm.fundamentals-of-just-transition-planning",“公正过渡计划的基础知识”
"wbm.fundamentals-of-social-dialogue-and-stakeholder-engagement-in-a-just-transition",“公正转型中社会对话和利益相关者参与的基础”
"wbm.fundamentals-of-social-protection-and-social-impact-management-for-a-just-transition",“公正过渡的社会保护和社会影响管理的基础知识”
"wbm.genetic-resources-and-intellectual-property-management",《遗传资源与知识产权管理》
"wbm.governance-and-policy-commitments",“治理和政策承诺”
"wbm.governance-and-strategy",“治理与战略”
"wbm.grievance-mechanisms-for-external-individuals-and-communities",“外部个人和社区的申诉机制”
"wbm.grievance-mechanisms-for-workers",“工人申诉机制”
"wbm.health-and-safety-fundamentals",《健康与安全基础》
"wbm.human-rights",“人权”
"wbm.identifying-human-rights-risks-and-impacts",“识别人权风险和影响”
"wbm.innovation",“创新”
"wbm.integrating-and-acting-on-human-rights-risks-and-impacts",“整合人权风险和影响并采取行动”
"wbm.just-transition-score",“只是过渡分数”
"wbm.living-wage-fundamentals",《生活工资基本面》
"wbm.marketing-and-sales",“市场营销与销售”
"wbm.narrative",“叙述”
"wbm.nutrition",“营养”
"wbm.performance",“表现”
"wbm.performance-company-human-rights-practices",《演出公司人权实践》
"wbm.performance-response-to-serious-allegations",“对严重指控的绩效回应”
"wbm.personal-data-protection-fundamentals",《个人数据保护基础》
"wbm.rank",“秩”
"wbm.rank-of-region",「地区排名」
"wbm.rank-of-sector",「部门排名」
"wbm.region",“地区”
"wbm.remedies-and-grievance-mechanisms",“补救措施和申诉机制”
"wbm.research-and-development",“研究与开发”
"wbm.respecting-planetary-boundaries",“尊重行星边界”
"wbm.responsible-lobbying-and-political-engagement-fundamentals",“负责任的游说和政治参与基础”
"wbm.responsible-tax-fundamentals",《负责任的税收基础》
"wbm.sector",“部门”
"wbm.seed-production",《种子生产》
"wbm.skills",「技能」
"wbm.social-inclusion",“社会包容”
"wbm.social-inclusion-and-community-impact",“社会包容和社区影响”
"wbm.social-ranking",《社会排名》
"wbm.social-responsibility",“社会责任感”
"wbm.social-score",《社会分数》
"wbm.supply-chain",“供应链”
"wbm.total-act-score",“ACT 总分”
"wbm.total-rank",「总排名」
"wbm.total-social-score",“社会总分”
"wbm.traceability",“可追溯性”
"wbm.trend",“趋势”
"wbm.use",“使用”
"wbm.workforce-diversity-disclosure-fundamentals",“劳动力多元化披露基础知识”
"wbm.working-hours-fundamentals",《工作时间基本原则》
"wbm.workplace",《工作场所》
"wbm.fundamentals-of-advocacy-for-policies-and-regulation-on-green-and-decent-job-creation-employee-retention-education-and-reskilling-and-social-protection-supporting-a-just-transition",“倡导创造绿色和体面就业的政策和法规的基础；员工保留、教育和再培训以及支持公正转型的社会保护”
"wbm.fundamentals-of-retaining-and-re-andor-up-skilling-workers-for-an-inclusive-balanced-workforce",“留住和重新培训和/或提高工人技能以打造包容、平衡的劳动力队伍的基础知识”
"wbm.gender-equality-and-womens-empowerment-fundamentals",“性别平等和妇女赋权的基本原则”
