country,countryLabel,article,site
http://www.wikidata.org/entity/Q7573309,Spanish Supercomputing Network,https://en.wikipedia.org/wiki/Spanish_Supercomputing_Network,https://www.res.es/
http://www.wikidata.org/entity/Q3456634,Réseau d'informations scientifiques du Québec,https://en.wikipedia.org/wiki/R%C3%A9seau_d%27informations_scientifiques_du_Qu%C3%A9bec,http://www.risq.quebec/
http://www.wikidata.org/entity/Q7633375,Sudanese Universities Information Network,https://en.wikipedia.org/wiki/Sudanese_Universities_Information_Network,http://www.suin.edu.sd/
http://www.wikidata.org/entity/Q2135885,RedCLARA,https://en.wikipedia.org/wiki/RedCLARA,http://www.redclara.net/
http://www.wikidata.org/entity/Q4887596,RedIRIS,https://en.wikipedia.org/wiki/RedIRIS,https://www.rediris.es
http://www.wikidata.org/entity/Q5349879,Eirpac,https://en.wikipedia.org/wiki/Eirpac,http://www.eircom.ie/cgi-bin/bvsm/bveircom/mainPage.jsp
http://www.wikidata.org/entity/Q5601873,Greek Research and Technology Network,https://en.wikipedia.org/wiki/Greek_Research_and_Technology_Network,https://www.grnet.gr/en
http://www.wikidata.org/entity/Q7305683,National Education and Research Network,https://en.wikipedia.org/wiki/Rede_Nacional_de_Ensino_e_Pesquisa,http://www.rnp.br/
http://www.wikidata.org/entity/Q16131076,Israel Inter-University Computation Center,https://en.wikipedia.org/wiki/Israel_Inter-University_Computation_Center,https://www.iucc.ac.il/
http://www.wikidata.org/entity/Q7339212,Romanian Educational and Research Network,https://en.wikipedia.org/wiki/RoEduNet,http://www.roedu.net/
http://www.wikidata.org/entity/Q796027,BITNET,https://en.wikipedia.org/wiki/BITNET,https://bit.net/
http://www.wikidata.org/entity/Q1093567,National Science Foundation Network,https://en.wikipedia.org/wiki/National_Science_Foundation_Network,http://www.nsf.gov/about/history/nsf0050/internet/launch.htm
http://www.wikidata.org/entity/Q1147211,Project Cybersyn,https://en.wikipedia.org/wiki/Project_Cybersyn,http://www.cybersyn.cl/
http://www.wikidata.org/entity/Q238330,4chan,https://en.wikipedia.org/wiki/4chan,https://www.4chan.org/
