Company,Reason
Assured Guaranty,Prison Funding
Aegon NV,Prison Funding
Aig Asset Management US LLC,Prison Funding
Alliancebernstein LP,Prison Funding
Allianz SE,Prison Funding
Allstate Investment LLC,Prison Funding
Anthem Inc,Prison Funding
Apollo Global Management Inc,Prison Funding
Ares Capital Management LLC,Prison Funding
Ashmore Group PLC,Prison Funding
Axa Equitable Agrifinance LLC,Prison Funding
Axa SA,Prison Funding
Banco Santander SA,Prison Funding
Bank Of America Corp,Prison Funding
Bank Of New York Mellon Corp/The,Prison Funding
Barclays PLC,Prison Funding
Barings LLC,Prison Funding
Blackrock Inc,Prison Funding
Blackstone Group Inc/The,Prison Funding
Carlyle Inv Management,Prison Funding
Cbre Group Inc,Prison Funding
Centene Venture,Prison Funding
Ci Investments Inc/Canada,Prison Funding
Credit Agricole Group,Prison Funding
Credit Suisse Group AG,Prison Funding
Crescent Capital Group LP,Prison Funding
Dai-Ichi Life Holdings Inc Group,Prison Funding
Deutsche Bank AG,Prison Funding
Eagle Point Credit Management LLC,Prison Funding
Fidelity National Financial Inc/Us,Prison Funding
Fiera Capital Corp,Prison Funding
Franklin Resources Inc,Prison Funding
Gam Holding AG,Prison Funding
Goldman Sachs Group Inc/The,Prison Funding
Grosvenor Capital Management LP,Prison Funding
Invesco Ltd,Prison Funding
Janus Henderson Group PLC,Prison Funding
Jefferies Finance LLC,Prison Funding
Jpmorgan Chase & Co,Prison Funding
Lazard Ltd,Prison Funding
Legal & General Group,Prison Funding
Legg Mason Inc,Prison Funding
M&T Bank Corp,Prison Funding
Macquarie Group Ltd,Prison Funding
Manulife Financial Corp,Prison Funding
Marsh & Mclennan Cos,Prison Funding
Metlife Inc,Prison Funding
Morningstar Investment Management LLC,Prison Funding
National Bank Of Canada,Prison Funding
Natixis SA,Prison Funding
Nomura Holdings Inc,Prison Funding
Nordea Bank ABP,Prison Funding
Northern Trust Corp,Prison Funding
Oaktree Capital Group Holdings LP,Prison Funding
Oppenheimer & Co Inc,Prison Funding
Pnc Capital Advisors LLC,Prison Funding
Principal Financial Group Inc,Prison Funding
Prudential Financial Inc,Prison Funding
Saratoga Investment Corp Clo Ltd,Prison Funding
Sei Investments Co,Prison Funding
St James'S Place PLC,Prison Funding
State Street Corp,Prison Funding
Travelers Cos Inc/The,Prison Funding
Truist Financial Corp,Prison Funding
Ubs AG,Prison Funding
Us Bancorp ,Prison Funding
Virtus Investment Partners Inc,Prison Funding
Voya Investment Management LLC,Prison Funding
Vp Bank AG,Prison Funding
Waddell & Reed Financial Inc,Prison Funding
Wells Fargo & Co,Prison Funding
Westwood Holdings Group Inc,Prison Funding
Amalgamated Bank,Prison Funding
American International Group Inc,Prison Funding
Ameriprise Financial Inc,Prison Funding
Amp Ltd,Prison Funding
Assetmark Inc,Prison Funding
Associated Banc-Corp,Prison Funding
Axxion SA,Prison Funding
Bank Of Montreal,Prison Funding
Bankinter SA,Prison Funding
Berkshire Hathaway Inc,Prison Funding
Bnp Paribas SA,Prison Funding
Canadian Imperial Bank Of Commerce,Prison Funding
Charles Schwab Corp/The,Prison Funding
Cigna Holding Co,Prison Funding
Citigroup Inc,Prison Funding
Cohen & Steers Inc,Prison Funding
Comerica Bank,Prison Funding
Community Bank Na/Dewitt NY,Prison Funding
Cullen/Frost Bankers Inc,Prison Funding
Daiwa Securities Group Inc,Prison Funding
Enterprise Financial Services Corp,Prison Funding
Envestnet Asset Management Inc,Prison Funding
Federated Hermes Inc,Prison Funding
Fifth Third Bancorp,Prison Funding
Global Indemnity Group,Prison Funding
Hancock Whitney Corp,Prison Funding
Hartford Financial Services Group,Prison Funding
Hsbc Holdings PLC,Prison Funding
Jupiter Fund Management PLC,Prison Funding
Lpl Financial LLC,Prison Funding
Mitsubishi Ufj Financial Group Inc,Prison Funding
Mizuho Financial Group Inc,Prison Funding
Morgan Stanley,Prison Funding
Nbt Bank NA,Prison Funding
Peoples United Bank,Prison Funding
Power Corp Of Canada,Prison Funding
Raymond James Financial Inc,Prison Funding
Regions Bank/Birmingham Al,Prison Funding
Rli Corp Inc,Prison Funding
Royal Bank Of Canada,Prison Funding
Royal Dutch Shell Plc,Prison Funding
Schroder Investment Management Ltd.,Prison Funding
Schweizerische Nationalbank,Prison Funding
Skandinaviska Enskilda Banken AB,Prison Funding
Standard Life Aberdeen Plc,Prison Funding
Sumitomo Mitsui Financial Group IN,Prison Funding
Sumitomo Mitsui Trust Holdings Inc,Prison Funding
Sun Life Financial Inc,Prison Funding
Svenska Handelsbanken,Prison Funding
T Rowe Price Group Inc,Prison Funding
Toronto-Dominion Bank/The,Prison Funding
Victory Capital Management Inc (Investment Management),Prison Funding
Virtu Financial LLC,Prison Funding
Wisdomtree Investments Inc,Prison Funding
Adtalem Global Education,For-Profit College
American Public Education,For-Profit College
Career Education Corporation,For-Profit College
Graham Holdings,For-Profit College
Grand Canyon Education,For-Profit College
Laureate Education,For-Profit College
Lincoln Group of Schools,For-Profit College
Strategic Education/Strayer Education,For-Profit College
Zovio ,For-Profit College
Hikvision Digital Tech,Surveillance
Dahua Technology,Surveillance
Amazon,Surveillance
Alibaba Group Holdings,Surveillance
Fairfax Financial Holdings Limited,Money Bail Involvement
RLI Corp.,Money Bail Involvement
3M Company,Prison Involvement
"Acadia Healthcare Company, Inc.",Prison Involvement
"Amazon.com, Inc.",Prison Involvement
Aramark,Prison Involvement
Avalon Correctional Services Inc,Prison Involvement
