country,countryLabel,article,site
http://www.wikidata.org/entity/Q263,Wikisource,https://en.wikipedia.org/wiki/Wikisource,https://wikisource.org
http://www.wikidata.org/entity/Q209330,Instagram,https://en.wikipedia.org/wiki/Instagram,https://www.instagram.com/
http://www.wikidata.org/entity/Q207360,Swedish Academy,https://en.wikipedia.org/wiki/Swedish_Academy,https://www.svenskaakademien.se/
http://www.wikidata.org/entity/Q734779,Comscore,https://en.wikipedia.org/wiki/Comscore,https://www.comscore.com/
http://www.wikidata.org/entity/Q725130,Battle.net,https://en.wikipedia.org/wiki/Battle.net,https://battle.net
http://www.wikidata.org/entity/Q733115,Amazon Mechanical Turk,https://en.wikipedia.org/wiki/Amazon_Mechanical_Turk,https://www.mturk.com
http://www.wikidata.org/entity/Q739029,Metacafe,https://en.wikipedia.org/wiki/Metacafe,http://www.metacafe.com/
http://www.wikidata.org/entity/Q731568,Rebelion.org,https://en.wikipedia.org/wiki/Rebelion.org,http://www.rebelion.org
http://www.wikidata.org/entity/Q735181,Call of Duty: Elite,https://en.wikipedia.org/wiki/Call_of_Duty:_Elite,http://www.callofduty.com/elite
http://www.wikidata.org/entity/Q723111,Zooomr,https://en.wikipedia.org/wiki/Zooomr,http://www.zooomr.com
http://www.wikidata.org/entity/Q355,Facebook,https://en.wikipedia.org/wiki/Facebook,https://www.facebook.com
http://www.wikidata.org/entity/Q213602,Google Street View,https://en.wikipedia.org/wiki/Google_Street_View,https://www.google.com/streetview/
http://www.wikidata.org/entity/Q740593,SkyscraperCity,https://en.wikipedia.org/wiki/SkyscraperCity,http://www.skyscrapercity.com/
http://www.wikidata.org/entity/Q743920,Habbo,https://en.wikipedia.org/wiki/Habbo,https://www.habbo.com/
http://www.wikidata.org/entity/Q743920,Habbo,https://en.wikipedia.org/wiki/Habbo,https://www.habbo.es/
http://www.wikidata.org/entity/Q742640,LibraryThing,https://en.wikipedia.org/wiki/LibraryThing,https://librarything.com
http://www.wikidata.org/entity/Q742151,Acid3,https://en.wikipedia.org/wiki/Acid3,http://acid3.acidtests.org
http://www.wikidata.org/entity/Q739853,LiveStation,https://en.wikipedia.org/wiki/LiveStation,http://www.livestation.com
http://www.wikidata.org/entity/Q213660,LinkedIn,https://en.wikipedia.org/wiki/LinkedIn,https://www.linkedin.com/
http://www.wikidata.org/entity/Q917580,Marca,https://en.wikipedia.org/wiki/Marca_(newspaper),https://www.marca.com/
http://www.wikidata.org/entity/Q911595,StumbleUpon,https://en.wikipedia.org/wiki/StumbleUpon,https://www.stumbleupon.com
http://www.wikidata.org/entity/Q919566,Where's Willy?,https://en.wikipedia.org/wiki/Where%27s_Willy%3F,http://www.whereswilly.com/
http://www.wikidata.org/entity/Q911055,BrettspielWelt,https://en.wikipedia.org/wiki/BrettspielWelt,http://www.brettspielwelt.de/?nation=fr
http://www.wikidata.org/entity/Q907111,China Internet Information Center,https://en.wikipedia.org/wiki/China_Internet_Information_Center,http://www.china.org.cn/
http://www.wikidata.org/entity/Q937098,pogo.com,https://en.wikipedia.org/wiki/Pogo.com,http://www.pogo.com/
http://www.wikidata.org/entity/Q933290,Project Runeberg,https://en.wikipedia.org/wiki/Project_Runeberg,http://runeberg.org/
http://www.wikidata.org/entity/Q373,Wikivoyage,https://en.wikipedia.org/wiki/Wikivoyage,https://wikivoyage.org
http://www.wikidata.org/entity/Q482527,Gaon Music Chart,https://en.wikipedia.org/wiki/Gaon_Music_Chart,http://www.gaonchart.co.kr
http://www.wikidata.org/entity/Q483314,hange,https://en.wikipedia.org/wiki/Hangame,http://www.hangame.com
http://www.wikidata.org/entity/Q483959,PayPal,https://en.wikipedia.org/wiki/PayPal,https://www.paypal.com
http://www.wikidata.org/entity/Q219885,Google Videos,https://en.wikipedia.org/wiki/Google_Video,http://video.google.com/
http://www.wikidata.org/entity/Q217680,kink.com,https://en.wikipedia.org/wiki/Kink.com,http://www.kink.com
http://www.wikidata.org/entity/Q747860,BBC Online,https://en.wikipedia.org/wiki/BBC_Online,http://www.bbc.co.uk
http://www.wikidata.org/entity/Q747860,BBC Online,https://en.wikipedia.org/wiki/BBC_Online,http://www.bbc.com
http://www.wikidata.org/entity/Q750541,Chatroulette,https://en.wikipedia.org/wiki/Chatroulette,https://www.chatroulette.com
http://www.wikidata.org/entity/Q746368,Great Norwegian Encyclopedia,https://en.wikipedia.org/wiki/Great_Norwegian_Encyclopedia,https://snl.no/
http://www.wikidata.org/entity/Q748564,Four Green Steps,https://en.wikipedia.org/wiki/Four_Green_Steps,http://www.fourgreensteps.com
http://www.wikidata.org/entity/Q746841,TeamXbox,https://en.wikipedia.org/wiki/TeamXbox,http://www.teamxbox.com/
http://www.wikidata.org/entity/Q938171,Netvibes,https://en.wikipedia.org/wiki/Netvibes,https://www.netvibes.com/
http://www.wikidata.org/entity/Q940366,VG-lista,https://en.wikipedia.org/wiki/VG-lista,https://topplista.no/
http://www.wikidata.org/entity/Q484531,Galaxy Store,https://en.wikipedia.org/wiki/Samsung_Galaxy_Store,https://galaxystore.samsung.com
http://www.wikidata.org/entity/Q498824,Memory Alpha,https://en.wikipedia.org/wiki/Memory_Alpha,http://memory-alpha.fandom.com/
http://www.wikidata.org/entity/Q493114,empas,https://en.wikipedia.org/wiki/Empas,http://www.empas.com/
http://www.wikidata.org/entity/Q489967,Map24,https://en.wikipedia.org/wiki/Map24,http://www.map24.com
http://www.wikidata.org/entity/Q493129,Nate,https://en.wikipedia.org/wiki/Nate_(web_portal),http://www.nate.com
http://www.wikidata.org/entity/Q495456,Tatoeba,https://en.wikipedia.org/wiki/Tatoeba,https://tatoeba.org
http://www.wikidata.org/entity/Q461,Internet Archive,https://en.wikipedia.org/wiki/Internet_Archive,https://archive.org/
http://www.wikidata.org/entity/Q220577,Google Analytics,https://en.wikipedia.org/wiki/Google_Analytics,https://www.google.com/analytics/
http://www.wikidata.org/entity/Q222909,5channel,https://en.wikipedia.org/wiki/2channel,https://2ch.sc
http://www.wikidata.org/entity/Q222909,5channel,https://en.wikipedia.org/wiki/2channel,https://5ch.net/
http://www.wikidata.org/entity/Q223474,TOM Online,https://en.wikipedia.org/wiki/TOM_Online,http://tom.com
http://www.wikidata.org/entity/Q220939,Eatyourkimchi,https://en.wikipedia.org/wiki/Eatyourkimchi,http://www.eatyourkimchi.com/
http://www.wikidata.org/entity/Q964,Wikinews,https://en.wikipedia.org/wiki/Wikinews,https://en.wikinews.org/wiki/Main_Page
http://www.wikidata.org/entity/Q964,Wikinews,https://en.wikipedia.org/wiki/Wikinews,https://wikinews.org
http://www.wikidata.org/entity/Q752071,Astronomy Picture of the Day,https://en.wikipedia.org/wiki/Astronomy_Picture_of_the_Day,http://apod.nasa.gov
http://www.wikidata.org/entity/Q752071,Astronomy Picture of the Day,https://en.wikipedia.org/wiki/Astronomy_Picture_of_the_Day,http://observatorio.info
